social_interaction_level;gender;platform_usage;depresión;sleep_hours;screen_time_before_sleep;academic_performance;physical_activity;stress_level;anxiety_level;addiction_level;;age;daily_social_media_hours
low;male;Instagram;no;4;1;2.43;1.2;1;10;9;;17;6.3
high;female;TikTok;no;4;0.5;3.16;0.2;7;6;3;;19;2.9
high;female;Instagram;no;4;2.4;2.35;1.6;10;5;2;;16;5.2
medium;male;TikTok;no;4;2;3.25;0.7;8;4;8;;15;3.2
medium;female;Both;no;4;1.4;3.83;0.5;1;5;2;;14;3.6
high;female;Both;no;4;0.9;3;1.4;1;8;10;;15;3.7
low;female;Instagram;no;4;1.8;2.19;1.4;1;2;5;;18;3.9
low;male;Both;no;4;0.5;3.72;1.1;4;5;7;;16;7.5
high;female;TikTok;no;4;2.4;3.01;0.9;10;3;2;;15;5.5
high;male;TikTok;no;4;2.9;3.15;1.9;8;6;5;;18;4.5
medium;male;Both;no;4.1;2.1;3.07;0.2;9;3;8;;14;5.2
low;male;Instagram;no;4.1;1.9;3.42;0.1;6;7;8;;18;4.5
medium;male;Both;si;4.1;2.8;3.41;1.1;7;8;1;;18;6.2
medium;female;TikTok;no;4.1;1.6;3.32;0.8;1;3;8;;13;5.1
low;male;TikTok;no;4.1;2.7;3.66;1.1;6;10;10;;17;6.5
high;female;Both;no;4.1;0.8;2.79;1.1;8;6;3;;13;2.4
high;male;Both;no;4.1;0.8;3.18;1.7;5;3;8;;16;2.3
high;male;Both;no;4.1;1.6;3.15;0.9;2;6;4;;19;1.6
high;female;Both;no;4.1;1.9;2.3;0.3;3;10;6;;13;7
high;female;Instagram;no;4.1;1.3;3.67;1.2;10;6;6;;16;1.5
high;male;TikTok;si;4.1;2.8;3.79;0.8;9;7;3;;15;5.1
medium;male;Both;no;4.1;1.3;2.49;1.8;5;5;4;;13;7.2
low;male;Instagram;no;4.1;2;3.82;1.9;6;10;8;;13;5.4
medium;female;TikTok;no;4.1;2.9;2.83;0.5;10;6;7;;14;3.6
high;female;Both;no;4.1;1.3;3.71;1.6;7;7;8;;19;2
medium;female;Both;no;4.1;0.7;2.33;1.2;3;8;1;;15;7.9
low;female;Both;no;4.1;1.3;2.77;1.3;10;6;1;;13;6.4
high;male;TikTok;no;4.1;1.3;2.22;0.4;2;1;8;;16;1
low;male;TikTok;no;4.1;2.9;2.33;0.4;9;6;8;;17;5.8
medium;female;TikTok;no;4.1;1.1;3.04;1.6;1;3;6;;18;1.2
